business_name,author_name,review_text,rating,cleaned_text,sentiment,subjectivity,lang,review_length,exclaim_count,caps_count,contains_url,duplicate_flag
0x4cb507c6b5a1565f:0x604f099c761b2b70,T Harris,All this McDonalds is capable of is giving you HALF of whatever size fries you ordered while making SURE you don't get at LEAST one other thing you order as well!!!!  NEVER EAT HERE,1,All this McDonalds is capable of is giving you HALF of whatever size fries you ordered while making SURE you don't get at LEAST one other thing you order as well!!!! NEVER EAT HERE,-0.01,0.45,en,34,4,6,False,False
0x89e0f02015a90507:0x61fc35620cd67d48,Mark LoGiurato,"A terrific mountain for families as well as individuals to ski.  The snowboard park at Carinthia is top-notch.  The blue bird express lift gets you to the top in a matter of minutes and keeps you warm on the way up.  The services are very good: rentals, instructions, dining .They have upgraded their snowmaking capabilities so there is always plenty of snow.  For a southern Vermont location, Mount Snow can't be beat.  Year round activities include snowmobiling, hiking, festivals and mountain biking.",5,"A terrific mountain for families as well as individuals to ski. The snowboard park at Carinthia is top-notch. The blue bird express lift gets you to the top in a matter of minutes and keeps you warm on the way up. The services are very good: rentals, instructions, dining .They have upgraded their snowmaking capabilities so there is always plenty of snow. For a southern Vermont location, Mount Snow can't be beat. Year round activities include snowmobiling, hiking, festivals and mountain biking.",0.35,0.55,en,82,0,0,False,False
0x4cb446270577ed85:0x8b3dfc93cc4846a8,Susan Peters Russell,Welcoming place for those in Recovery,5,Welcoming place for those in Recovery,0.0,0.0,en,6,0,0,False,False
0x89e024624c7c3a53:0x68457092c2dd253d,Aimee Goudas,Great gluten free options and I even ate whole 30 here.,5,Great gluten free options and I even ate whole 30 here.,0.47,0.65,en,11,0,0,False,False
0x4cb60f2f5c9f5d09:0x6bb602ed58bf4413,Oliver Strube,Best mountain resort in the northeast. Love it. Will go back. A lot.,5,Best mountain resort in the northeast. Love it. Will go back. A lot.,0.5,0.3,en,13,0,0,False,False
0x4cca7a31d6bee86d:0x25797d043ecbffeb,Sean Fitzpatrick,The first room we were put in was facing a brick wall so we asked to move. The 2nd room was fine but the hotel in general seemed old and showed signs of being an older building. There is construction going on so renovations are under way. The room was clean and tidy and breakfast buffet was ok.,3,The first room we were put in was facing a brick wall so we asked to move. The 2nd room was fine but the hotel in general seemed old and showed signs of being an older building. There is construction going on so renovations are under way. The room was clean and tidy and breakfast buffet was ok.,0.27,0.43,en,58,0,0,False,False
0x4cca7a6fdd582f83:0x53acbd7d47a6d934,Jake Thweatt,Amazing mac n cheeses!,5,Amazing mac n cheeses!,0.75,0.9,en,4,1,0,False,False
0x4cca7a2e25dfcdbd:0x2be66d847fc357f3,Anthony Sourdiff,Love the table service there,5,Love the table service there,0.5,0.6,en,5,0,0,False,False
0x4cb506dba1d8a86d:0x7ce901f2f3a18552,Jennifer Sherman,Always great service,4,Always great service,0.8,0.75,en,3,0,0,False,False
0x89e1d817bd0c121b:0x30d54b9239a846ef,david mispel,Its the only place where you can pump gas first and pay when finished. But because it's in Vermont and all its taxes plan on paying 13 to 15 cents a gallon more than New Hampshire.,4,Its the only place where you can pump gas first and pay when finished. But because it's in Vermont and all its taxes plan on paying 13 to 15 cents a gallon more than New Hampshire.,0.22,0.57,en,36,0,0,False,False
0x89e1b835890ff4e5:0x21d990938e5cd3c8,Suzanne Thompson,"Great food and staff, plenty of parking",5,"Great food and staff, plenty of parking",0.8,0.75,en,7,0,0,False,False
0x4cb595133a4e36c9:0x21dbf444b425de68,Michelle Crytzer,Clean and friendly staff,3,Clean and friendly staff,0.37,0.6,en,4,0,0,False,False
0x4cb5884f261a5e0b:0xc13e5ec6378006e1,kim kanios,Great pizza and great value.  Tried the bourbon wings tonight and the were very good as well.  Highly recommend.,5,Great pizza and great value. Tried the bourbon wings tonight and the were very good as well. Highly recommend.,0.67,0.71,en,19,0,0,False,False
0x4cca77629e0b1c01:0xbbd5d83ab52cf7a7,Heather Farrington,"Great Mediterranean food, my husband absolutely loves the gyros.",5,"Great Mediterranean food, my husband absolutely loves the gyros.",0.5,0.82,en,9,0,0,False,False
0x4cb4487ff63589f7:0x7db5a777ace77cf2,mike reynolds,Great selection and great people. Stone of the best coffee around,5,Great selection and great people. Stone of the best coffee around,0.87,0.6,en,11,0,0,False,False
0x89e01a873f23b12f:0xe43c316c95fa6c64,Melissa Muzzy,Lovely staff,5,Lovely staff,0.5,0.75,en,2,0,0,False,False
0x4cca1b10806bf403:0xfc26d06c5f0e081b,Don Carl,Fast food fast service good food nice people,5,Fast food fast service good food nice people,0.43,0.7,en,8,0,0,False,False
0x89e029a39aae268f:0x493c95e2fb4f3efd,Angela Jackson,What a wonderful pub. It's a perfect pint Everytime.,5,What a wonderful pub. It's a perfect pint Everytime.,1.0,1.0,en,9,0,0,False,False
0x4cca7a32bd30747d:0xb40326b8e1da7f33,Promo Paul. Loud Event Photography.,"There is more healthy food packing into this store, than ALL of the whole foods franchises combined! Its like a catacomb of flavor a health with our own VT flair.",5,"There is more healthy food packing into this store, than ALL of the whole foods franchises combined! Its like a catacomb of flavor a health with our own VT flair.",0.46,0.6,en,30,1,2,False,False
0x4cca798f2b248bb3:0x465fac2616972e97,Evan Will,This is a delightful place for breakfast.. we got there before 9am and it was pretty busy after we left.. we got the popular Noah’s ark and the crepes with maple syrup was the best!!! Definitely worth checking out,5,This is a delightful place for breakfast.. we got there before 9am and it was pretty busy after we left.. we got the popular Noah’s ark and the crepes with maple syrup was the best!!! Definitely worth checking out,0.46,0.51,en,39,3,0,False,False
0x4cb506e74e2a5e03:0xef6af2071d3dada2,Joe Audet,The Most Honest People In The Industry !!!,5,The Most Honest People In The Industry !!!,0.75,0.7,en,8,3,0,False,False
0x4cca0b02d7f74f8d:0x101614dfeb3c9dd,Todd Miller,Your local deli hunting a nd fishing supply clothing boots and gossip it great,5,Your local deli hunting a nd fishing supply clothing boots and gossip it great,0.4,0.38,en,14,0,0,False,False
0x4cca7986b6b9c3d9:0xa016cdc883ccfa67,Pamela Jacobs,"Six of us for my nephew's birthday dinner.  Everyone was happy with their steak choices.  I had ribeye which was juicy and delicious.  Had half leftover for lunch the next day.  The plating with roasted onions made for brown on brown entree.  We shared onion rings, Caesar salad and heirloom tomato gazepacho for apps.  We shared again for dessert, flourless chocolate torte, apple pie, vanilla and chocolate ice cream.  It was all delightfully fresh and locally sourced.  The staff was friendly, efficient and knowledgeable.  We were there on a Wednesday night.  It was very busy, and still we were well taken care of.",4,"Six of us for my nephew's birthday dinner. Everyone was happy with their steak choices. I had ribeye which was juicy and delicious. Had half leftover for lunch the next day. The plating with roasted onions made for brown on brown entree. We shared onion rings, Caesar salad and heirloom tomato gazepacho for apps. We shared again for dessert, flourless chocolate torte, apple pie, vanilla and chocolate ice cream. It was all delightfully fresh and locally sourced. The staff was friendly, efficient and knowledgeable. We were there on a Wednesday night. It was very busy, and still we were well taken care of.",0.3,0.44,en,103,0,0,False,False
0x89e024c013852913:0x19e6ad450e0e7572,Chris Morris,Quick service in the drive thru.,4,Quick service in the drive thru.,0.33,0.5,en,6,0,0,False,False
0x89e1dc3dd1416b31:0xf1303103154cb7e7,Diana Lammott,Sandwich I ordered was phenomenal...stopped there for lunch on my way to Connecticut...Will stop on our way back,5,Sandwich I ordered was phenomenal...stopped there for lunch on my way to Connecticut...Will stop on our way back,0.0,0.0,en,18,0,0,False,False
0x4cca788e490f627f:0xbc37ed021c870990,Lance Brigham,"The food was great, the staff was a little less enthusiastic. One server could not keep their shirt over their mid section and while handling our food was not impressed. Then the Moe-Rita machine was not there. But the food was good and consistent.",2,"The food was great, the staff was a little less enthusiastic. One server could not keep their shirt over their mid section and while handling our food was not impressed. Then the Moe-Rita machine was not there. But the food was good and consistent.",0.19,0.51,en,44,0,0,False,False
0x4cb66fe5c686570f:0x62b2060c40f92837,Heather Stone,Great food and drinks,5,Great food and drinks,0.8,0.75,en,4,0,0,False,False
0x89e0246327bcb947:0xbcff912ee943f6d0,Trina Hess,Love this store!,5,Love this store!,0.62,0.6,en,3,1,0,False,False
0x89e02444b00543e3:0x82228927d3224ef3,Fabian Stewart,At Walmart you get anything you want,4,At Walmart you get anything you want,0.0,0.0,en,7,0,0,False,False
0x4cb4cd9699e98291:0x216643e2eb44f4cf,Steve Long,"Excellent menu, friendly service, healthy food options, nice atmosphere",5,"Excellent menu, friendly service, healthy food options, nice atmosphere",0.62,0.75,en,9,0,0,False,False
0x89e02bcceb1f82e7:0x66c2f5d382e21230,Cheyenne Olson,"I love heading up to Jax! This is one of my favorite bars on the mountain. The atmosphere is more cozy then some of the other hot spots in Killington. They have great menu selections, as well as their late night menu. I highly recommend the mac and cheese bites! They almost always have live music playing a variety of genres. The prices on beverages are fair for the mountain. It can get crowded on the weekends and depending on the night they do have a cover charge. All of the bartenders are awesome, make sure you get a chance to meet KO! Hes the man and will truly make your experience at Jax one of a kind!",5,"I love heading up to Jax! This is one of my favorite bars on the mountain. The atmosphere is more cozy then some of the other hot spots in Killington. They have great menu selections, as well as their late night menu. I highly recommend the mac and cheese bites! They almost always have live music playing a variety of genres. The prices on beverages are fair for the mountain. It can get crowded on the weekends and depending on the night they do have a cover charge. All of the bartenders are awesome, make sure you get a chance to meet KO! Hes the man and will truly make your experience at Jax one of a kind!",0.39,0.73,en,118,4,1,False,False
0x4cca7af7a1461213:0xb9c1f62a6bb52e47,Sandy FL,We really enjoy the Church Street vibe.  A great place to visit on a summer evening,5,We really enjoy the Church Street vibe. A great place to visit on a summer evening,0.6,0.62,en,16,0,0,False,False
0x4cb4c83c64f26d29:0x8b4ed5df5a421c57,Stacey Bradley,Great concern and care taken with our little dog.  Not looking to do more than needed but no shortcuts either.  Friendly staff.  They gave our full trust for the health and care of our pets.,5,Great concern and care taken with our little dog. Not looking to do more than needed but no shortcuts either. Friendly staff. They gave our full trust for the health and care of our pets.,0.37,0.56,en,35,0,0,False,False
0x89e0247d30cea79b:0x21c4d1582d31d2d7,Rose Marie Burch,The vape flavors are good,5,The vape flavors are good,0.7,0.6,en,5,0,0,False,False
0x4cca1bf887c7659d:0x567c806ace17e778,Nicholas Ceffalo,Inside the 14 star brewery. Order drinks at the bar and food at the other counter by the entered.  Very limited indoor seating.  More seating outside in the back far corner of the parking lot.  Limited menu at this location but very good food for a decent price,5,Inside the 14 star brewery. Order drinks at the bar and food at the other counter by the entered. Very limited indoor seating. More seating outside in the back far corner of the parking lot. Limited menu at this location but very good food for a decent price,0.15,0.41,en,48,0,0,False,False
0x4cca1b096bffffff:0x64bf37ede64d32b1,Billy Newton,"Great service, fairly priced.",5,"Great service, fairly priced.",0.75,0.82,en,4,0,0,False,False
0x4cca77a14da5956b:0x5018ccdebd22149f,Peggy Pearson,"Hannaford is my favorite grocery store. They have a great variety, and guarantee freshness or double your money back. Most staff is friendly.  Prices compare reasonably.",5,"Hannaford is my favorite grocery store. They have a great variety, and guarantee freshness or double your money back. Most staff is friendly. Prices compare reasonably.",0.34,0.48,en,26,0,0,False,False
0x4cb506dc1807990b:0xea013000828f984a,Diane Lagarto,"It's called soup and greens... the soup should have been something to brag about, it was similar to canned, just ok. It was corn chowder.",2,"It's called soup and greens... the soup should have been something to brag about, it was similar to canned, just ok. It was corn chowder.",0.25,0.45,en,25,0,0,False,False
0x4cca78e541369cbb:0xeb75533b36fdcd98,Andrea Mahon,"Really nice hotel. The rooms were spacious, came with high end toiletries and had very comfy beds with nice pillows. The closet even had actual hangers. The woman in the lobby when we checked in was the sweetest ever!",5,"Really nice hotel. The rooms were spacious, came with high end toiletries and had very comfy beds with nice pillows. The closet even had actual hangers. The woman in the lobby when we checked in was the sweetest ever!",0.31,0.59,en,39,1,0,False,False
0x4cca78e3051ecd03:0xa44274356a80da1a,RJ Aldred,Its Walmart,3,Its Walmart,0.0,0.0,en,2,0,0,False,False
0x89e024628b15de3b:0xb6a451f6a3bec99f,Shannon Kennelly,"Amazing theater. I love every event put on here, from free movie nights to election results viewing parties to talks from New York Times writers to concerts and plays. Went to see a performance of A Christmas Carol in the Brick Box and that was also spectacular! 100000 stars.",5,"Amazing theater. I love every event put on here, from free movie nights to election results viewing parties to talks from New York Times writers to concerts and plays. Went to see a performance of A Christmas Carol in the Brick Box and that was also spectacular! 100000 stars.",0.48,0.73,en,49,1,0,False,False
0x4cca78f9f01a37cb:0xff10f38ce17c56dd,Heavy rescue,"Just bought a shirt and tie for my wedding, excellent service and the salesman Anthony was one of the best salesmen I've ever dealt with. Would reccomend him and this store to anyone.",5,"Just bought a shirt and tie for my wedding, excellent service and the salesman Anthony was one of the best salesmen I've ever dealt with. Would reccomend him and this store to anyone.",1.0,0.65,en,33,0,0,False,False
0x4cca7a32fa1db3a1:0x3248409e3aba389c,Carl Sedon,T day shopping great,5,T day shopping great,0.8,0.75,en,4,0,0,False,False
0x4cca78f9f01a37cb:0xff10f38ce17c56dd,Michelle Thibault,We used them for our wedding and everyone looked amazing. We had a little challenge this past time and Summer helped us out! Highly suggest using them for any special event or just to get some sweet cloths!,5,We used them for our wedding and everyone looked amazing. We had a little challenge this past time and Summer helped us out! Highly suggest using them for any special event or just to get some sweet cloths!,0.18,0.57,en,38,2,0,False,False
0x4cca78fade3abd4b:0xbfcb59a7e1d6e332,Michael Sweeney,You never know what your going to find.,4,You never know what your going to find.,0.0,0.0,en,8,0,0,False,False
0x4cca7083301c5491:0x714818356af37f9,Sir Joshua Choiniere,My favorite place to go. 24 hours open is my favorite part. They say the touchless wash works better as it is stronger stuff essentially.,5,My favorite place to go. 24 hours open is my favorite part. They say the touchless wash works better as it is stronger stuff essentially.,0.3,0.66,en,25,0,0,False,False
0x4cca79adfddc3ddf:0x3b9d4b114407272d,Amalia Langlinais,Great little park.,4,Great little park.,0.31,0.62,en,3,0,0,False,False
0x4cca78558ee3f1b3:0x44c9ac61cabb623a,wendy thibault,I will never go back. Was looking for some new furniture and the sale person was the worst I have ever worked with.,1,I will never go back. Was looking for some new furniture and the sale person was the worst I have ever worked with.,-0.29,0.48,en,23,0,0,False,False
0x4cca798414f11f6d:0x9d49ed53826cc26d,Jennifer Martin,Excellent service hood food,4,Excellent service hood food,1.0,1.0,en,4,0,0,False,False
0x89e01236cdba574b:0x2ecc7a5ac60ba12,Melissa Stickney,Only shop here when it's the last option. Prices are usually higher than at other stores. Employees are friendly and helpful though.,3,Only shop here when it's the last option. Prices are usually higher than at other stores. Employees are friendly and helpful though.,0.1,0.49,en,22,0,0,False,False
0x4cca7bf56494c5ef:0x63b373cbde203a88,Ewing Fox,John (JT) did a great job making it easy and stress free to buy the PERFECT Toyota 4Runner - took my clapped out Kia in trade and worked with me to get a great number that works with my budget!,5,John (JT) did a great job making it easy and stress free to buy the PERFECT Toyota 4Runner - took my clapped out Kia in trade and worked with me to get a great number that works with my budget!,0.73,0.83,en,40,1,2,False,False
0x4cca7a1ea104f82f:0xc5666d54e446bcec,Kenny G,"Has always took great care of my car. Back when I had a Dodge Caravan, he fixed a rusted out broken coolant line. With my Subaru Legacy, he diagnosed a complex problem with melted two stage catalytic converters. These low emission models have very sensitive exhaust systems, and Al was able to find the issue that TWO other mechanics couldn't. Only reason I didnt take it to him first is because I was so far out of town with it. Go to Al.",5,"Has always took great care of my car. Back when I had a Dodge Caravan, he fixed a rusted out broken coolant line. With my Subaru Legacy, he diagnosed a complex problem with melted two stage catalytic converters. These low emission models have very sensitive exhaust systems, and Al was able to find the issue that TWO other mechanics couldn't. Only reason I didnt take it to him first is because I was so far out of town with it. Go to Al.",0.09,0.53,en,83,0,1,False,False
0x4cb55cd05cafbbf9:0x9a185148e4ab1ff2,Heidi Olson,"Lovely! Warm, welcoming, friendly staff serving homey comfort foods.",5,"Lovely! Warm, welcoming, friendly staff serving homey comfort foods.",0.53,0.62,en,9,1,0,False,False
0x4cca7a420f4a51b3:0xd099edef5ec3e5cc,Dustin Robinson,Great local field is accessible and set up great for the whole family.,5,Great local field is accessible and set up great for the whole family.,0.44,0.45,en,13,0,0,False,False
0x4cb598ed8d164e67:0xd287a51d9216696b,Alicia Gil de Rubio,"This place is great,  great baked goods and food, kids like seeing cider being made.  Only downside is, it gets VERY busy on weekends and during fall season. It will be very crowded shoulder to shoulder.",5,"This place is great, great baked goods and food, kids like seeing cider being made. Only downside is, it gets VERY busy on weekends and during fall season. It will be very crowded shoulder to shoulder.",0.39,0.64,en,36,0,1,False,False
0x4cca7a47ff8211ef:0x3dd1dd83df2163a,Tammie Morrison,"Beautiful place. Great customer service! Restaurant had great food. There's a pool, workout center. Shuttle service. Great place to stay!",5,"Beautiful place. Great customer service! Restaurant had great food. There's a pool, workout center. Shuttle service. Great place to stay!",0.71,0.67,en,20,2,0,False,False
0x4cb54a3019e58f77:0x5f5fb86a11ece2e8,Larry Lamb,Chef Robert is amazing. Great quality food at a really affordable price,5,Chef Robert is amazing. Great quality food at a really affordable price,0.53,0.62,en,12,0,0,False,False
0x89e1a6bc09396185:0x7b020afda9c0dd5f,John Horrocks,Food is great. The best cider doughnuts ever. Very friendly staff. Baked goods delisious. Always a pleasure.,5,Food is great. The best cider doughnuts ever. Very friendly staff. Baked goods delisious. Always a pleasure.,0.76,0.57,en,17,0,0,False,False
0x4cb5a7f448a2290f:0x97b93dad8efc552b,ANGELA BERUBE,"WONDERFUL FIND 😋 A+++ burger joint👍👍🏾that's got it all🤗
Staff is friendly, service is beyond fast, Food is amazing, their price's are phenomenal & last but definitely  not last their portion sizes are mind blowing 🤯!!",5,"WONDERFUL FIND 😋 A+++ burger joint👍👍🏾that's got it all🤗 Staff is friendly, service is beyond fast, Food is amazing, their price's are phenomenal & last but definitely not last their portion sizes are mind blowing 🤯!!",0.38,0.52,en,36,2,3,False,False
0x4cb5a7b92eba86db:0x7d008adaae0b587,Vishal Poojary,Great open grounds and tennis courts,5,Great open grounds and tennis courts,0.4,0.62,en,6,0,0,False,False
0x4cb507c15ac7a3a7:0xefbe67f0fa4bcc50,Cara Boothe,Amazing people and great place to get your nails done,5,Amazing people and great place to get your nails done,0.7,0.82,en,10,0,0,False,False
0x4cb5ea9456f54e4b:0xd24adce2e91437a3,Shaun Varney,"Great store, friendly and laid back staff.  My 4 year old son and I always enjoy visiting.",5,"Great store, friendly and laid back staff. My 4 year old son and I always enjoy visiting.",0.34,0.39,en,17,0,0,False,False
0x89e024f2d7f38e5b:0x3f1f159b84bd6325,Stephen Schwind,Execution of dishes and service left something to be desired but good menu and ambiance so 4 stars,4,Execution of dishes and service left something to be desired but good menu and ambiance so 4 stars,0.35,0.3,en,18,0,0,False,False
0x89e02493790810e3:0xddd6c18a36c45871,Sandy Seamans,Prices Were high even though the store is closing in a week.I wouldn't say that I like the place.,3,Prices Were high even though the store is closing in a week.I wouldn't say that I like the place.,0.16,0.54,en,19,0,0,False,False
0x4cb572dad2e44d63:0x4418206aa2c5d80a,Nicholas Diehl,Great food and wonderful outdoor atmosphere.,5,Great food and wonderful outdoor atmosphere.,0.9,0.88,en,6,0,0,False,False
0x4cca78563aaf265b:0xb4298a48143bc07e,Jeff M,Expensive but great foot wear I buy my merrells there,4,Expensive but great foot wear I buy my merrells there,0.15,0.72,en,10,0,0,False,False
0x4cb5a7f34b24e699:0x11ff139a9302a713,Mathius Neilson,"It looks sketchy outside, in the middle of a lot in Montpelier, but it's is a very nice place with amazing Vietnamese food. I recommend going here it's cheap with some of the best food in the capitol.",5,"It looks sketchy outside, in the middle of a lot in Montpelier, but it's is a very nice place with amazing Vietnamese food. I recommend going here it's cheap with some of the best food in the capitol.",0.46,0.49,en,38,0,0,False,False
0x4cca7a304c322f95:0xdeab418f0b885f0a,shawn fisher,Great food but a bit expensive.....,4,Great food but a bit expensive.....,0.15,0.72,en,6,0,0,False,False
0x4cb67195d2e81413:0x2ea98230a0f8ad06,Jeremy Ayotte,Great,5,Great,0.8,0.75,en,1,0,0,False,False
0x4cb507e861328c57:0x2552adfe134ebb07,Brooke Hornbeck-Fielder,Best of homemade! Like eating my mom’s cooking again! Love it. Staff are always friendly and happy. Very busy but I like it because it shows how great they are! Food is amazing and breakfast is all day into the evening!!!,5,Best of homemade! Like eating my mom’s cooking again! Love it. Staff are always friendly and happy. Very busy but I like it because it shows how great they are! Food is amazing and breakfast is all day into the evening!!!,0.69,0.63,en,41,6,0,False,False
0x4cca7763240eb93f:0x3b3e39866119c79a,Crystal Bousquet,Yummy food,5,Yummy food,0.0,0.0,en,2,0,0,False,False
0x4cca7a2d5ac2c45d:0x2fde54c1cb24d2af,Nicholas Ceffalo,They did great work on my truck,5,They did great work on my truck,0.8,0.75,en,7,0,0,False,False
0x4cca7a420f4a51b3:0xd099edef5ec3e5cc,Bill Patton,Minor league baseball at its finest!,5,Minor league baseball at its finest!,-0.06,0.2,en,6,1,0,False,False
0x4cb5eab503be6a23:0x4196d494d64c9afe,M R,"Almost an hour wait for very some dishes with an empty restaurant. Not sure what happened that day, might not always be like this. Might give it another chance at some other time. Our celebration was somewhat cooled off because of this. For a salàd to take this long and chickenwings to come out first and be finished and eaten by the time anything else came out?? Had me puzzled to say the very least. The drinks took 15 minutes to arrive.",2,"Almost an hour wait for very some dishes with an empty restaurant. Not sure what happened that day, might not always be like this. Might give it another chance at some other time. Our celebration was somewhat cooled off because of this. For a salàd to take this long and chickenwings to come out first and be finished and eaten by the time anything else came out?? Had me puzzled to say the very least. The drinks took 15 minutes to arrive.",-0.07,0.47,en,82,0,0,False,False
0x89e0247d3c5e0b3b:0x31f9c4d988f48ec7,Ken,Great owners and the food is Top's! I would highly recommend if you're in the area.,5,Great owners and the food is Top's! I would highly recommend if you're in the area.,0.53,0.6,en,16,1,0,False,False
0x89e024138f542ff5:0xdfd24d5a3d5b4c2b,Noah Dion,"I like this salvation army a lot, great selection especially of clothes and household goods. The employee was friendly, although busy she could only be so attentive as she was the only person on that day. Prices are especially great. Really low considering and there's tons of deals to be had",4,"I like this salvation army a lot, great selection especially of clothes and household goods. The employee was friendly, although busy she could only be so attentive as she was the only person on that day. Prices are especially great. Really low considering and there's tons of deals to be had",0.3,0.75,en,51,0,0,False,False
0x4cb54a3060f46d95:0x658d129730211a13,Craig Woody,Good store. Clean.  Prices okay,4,Good store. Clean. Prices okay,0.52,0.6,en,5,0,0,False,False
0x4cb56597dbda6193:0xa5d528b896718962,Ashleigh Vigneau,"Lovely café in a cozy town. Food was homemade and delicious. Staff friendly. Very nice place.

Side note: We loved the different salt and pepper shakers on every table. Our favorites were the potatoes and lemon/lime combo 😆",4,Lovely café in a cozy town. Food was homemade and delicious. Staff friendly. Very nice place. Side note: We loved the different salt and pepper shakers on every table. Our favorites were the potatoes and lemon/lime combo 😆,0.45,0.77,en,38,0,0,False,False
0x4cca7afa9720cbf9:0x8eddf37adf6cb85,Angie m. Buchanan,"Amazing and fun for all ages of our family my dad daughter an grandkids also my youngest
Was a great meeting place an just great staff",5,Amazing and fun for all ages of our family my dad daughter an grandkids also my youngest Was a great meeting place an just great staff,0.62,0.65,en,26,0,0,False,False
0x89e025e6dc8a2545:0xb001406e2159e751,Leonard Klepner,Good for quick access to a hearty meal. Nice variety. Fresh and nutritious.,4,Good for quick access to a hearty meal. Nice variety. Fresh and nutritious.,0.48,0.65,en,13,0,0,False,False
0x4cb4371833d67555:0x3d17239ff6f9af59,Mike Blodgett,Just the run of the mill dollar general. Workers always seem unhappy.,3,Just the run of the mill dollar general. Workers always seem unhappy.,-0.27,0.7,en,12,0,0,False,False
0x4cca7af026e6958b:0x17983ab63aa4bd15,Robert Doering,It's on the lake and beautiful,5,It's on the lake and beautiful,0.85,1.0,en,6,0,0,False,False
0x89e11ae4bb4f9d59:0x9f605a3c3c3e2677,Erica B,Not great food,3,Not great food,-0.4,0.75,en,3,0,0,False,False
0x89e0248b97f8bf0b:0xeb95aa7083f3afc1,Ray Alex,"when it opened its Pizza was the Best, now its so thin its greasy & Gross. the staff is usually Friendly. but the pizza has gone down Hill Big time.",3,"when it opened its Pizza was the Best, now its so thin its greasy & Gross. the staff is usually Friendly. but the pizza has gone down Hill Big time.",0.14,0.34,en,30,0,0,False,False
0x4cb58d52c5aa9bd3:0x67d3bc866eef2ca3,Karen kazinmich,Disc golf courses are awesome! Great summer fun.,5,Disc golf courses are awesome! Great summer fun.,0.7,0.65,en,8,1,0,False,False
0x4cca71a0f5c4a54f:0x6c0036fb9a8ad477,Claire Shepard,Too crowded,3,Too crowded,0.0,0.0,en,2,0,0,False,False
0x89e0e150032585eb:0xd29eb3ef212fd266,D Young,"This is a great place for everything Vermont! Prices are great and something for everyone. Can't be beat, anywhere.",5,"This is a great place for everything Vermont! Prices are great and something for everyone. Can't be beat, anywhere.",0.9,0.75,en,19,1,0,False,False
0x89e11a4fcd476409:0x5f91ad8a6283ceec,Keller Allen,Corner park with nice benches,5,Corner park with nice benches,0.6,1.0,en,5,0,0,False,False
