business_name,author_name,review_text,rating,sentimentNum,subjectivity,lang,review_length,exclaim_count,caps_count,contains_url,inauthentic,irrelevant,advertisement,rant,policy_violations,reason
Miss Pizza,Selcuk Uras,Best pizza in the area; very crowded in weekends.,5,0.6,0.3,en,9,0,0,False,0,0,0,0,0,"The review is a straightforward, positive testimonial with a 5-star rating and relatively specific detail (""very crowded in weekends""). The sentiment is positive (0.6), subjectivity is moderate (0.3), and the review length is reasonable. There are no indicators of inauthenticity, advertisement, or rant."
Gold Semaver,Mehmet Mercan,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,3,0.25,0.85,en,26,0,0,False,0,0,0,0,0,"This review is relatively short and provides a specific detail about the tea being hot, which suggests an authentic experience. The sentiment score of 0.25 is mildly negative but doesn't indicate an overly emotional rant. There are no strong indicators of inauthenticity, irrelevant content, or advertising."
Kumrucu Omur,Ali Marangozoglu,I ate the best dove I've ever eaten here. Everyone should come!!,5,1.0,0.3,en,12,2,0,False,0,0,0,0,0,"The review is overwhelmingly positive (""best dove I've ever eaten"") and uses enthusiastic language (""Everyone should come!!""). While the sentiment is high, it doesn't exhibit any of the strong indicators of inauthenticity such as generic praise or overly enthusiastic wording. The review is a typical, positive customer testimonial. There are no indications of a promotional link or manipulative language, nor is there any evidence of an angry or overly critical rant."
Backyard,Ece Oztunc,We went for both breakfast and dinner. First of all; it has a very nice environment. When we went for breakfast; we sat inside and one can sit for hours. Its decoration; quiet and nice; being in the trees is very nice. Especially having an open kitchen adds a positive score to the customer.,4,0.33,0.71,en,54,0,0,False,0,0,0,0,0,"The review is relatively detailed and provides specific observations about the environment and atmosphere (""nice environment,"" ""one can sit for hours,"" ""being in the trees""). The sentiment score of 0.33 is relatively neutral, and there are no extreme features like excessive capitalization or exclamation marks. The review doesn't contain URLs, suggesting it's not promotional. Therefore, there is no strong evidence to classify it as inauthentic, irrelevant, an advertisement, or a rant."
Churchill Bistro,Ali Suca,Seaside; pleasant place; mediocre food; owners concerned.,4,0.12,0.98,en,7,0,0,False,0,0,0,0,0,"The review provides a relatively short and somewhat generic description of the business (“Seaside; pleasant place; mediocre food; owners concerned.”) with a 4-star rating. While the sentiment is slightly negative, it doesn’t exhibit any strong indicators of inauthenticity, advertising, or a rant. The cleaned text is consistent with the original review. The length, subjectivity, and language are all within acceptable ranges for a genuine review."
Askin Tostevi,Muharrem Osanmaz,Bread; cheese; sausage all left incredible flavors on our palate. We recommend it to everyone who will go to Ayvalık.,4,0.45,0.45,en,20,0,0,False,0,0,0,0,0,"The review is a relatively positive and specific recommendation (""Bread; cheese; sausage all left incredible flavors on our palate""). The sentiment score of 0.45 suggests a genuine positive experience. The length of the review (20) and lack of promotional elements (no URL, caps, or exclamation marks) don't indicate inauthenticity. It does not appear to be an advertisement."
Nazar Cafe,Alper Kultufan,Very good quality and expensive also always crowded.,4,0.2,0.74,en,8,0,0,False,0,0,0,0,0,"This review is relatively short and uses generic language (""Very good quality and expensive also always crowded""). While the sentiment is slightly positive (0.2), the lack of specific details and the somewhat bland phrasing suggest it might be a genuine, albeit brief, opinion. There are no strong indicators of inauthenticity, irrelevant content, advertising, or a rant."
Midpoint,Mehmet Gunes,They used to taste better; the chef must have changed.,3,0.5,0.5,en,10,0,0,False,0,0,0,0,0,"The review expresses a subjective opinion about a change in quality (""They used to taste better; the chef must have changed."") which is a typical, genuine customer comment. The sentiment score of 0.5 indicates a mild negative opinion, but doesn't rise to the level of a rant or overtly promotional language. There are no strong indicators of inauthenticity, irrelevant content, or advertising."
Umut Pide,Tufan Ulu,Waiters didn't pay attention to me.,3,0.0,0.0,en,6,0,0,False,0,0,0,0,0,"The review expresses a negative sentiment (sentiment=-0.0) and a subjective complaint (""Waiters didn't pay attention to me."") but doesn't exhibit any strong indicators of inauthenticity, advertisement, or a rant. The review length is short, but this alone is not sufficient evidence of inauthenticity. The pre-processed data doesn't suggest manipulation or deception."
Kafros Pizzeria,Emine Kaya,You can't get enough of the thin pizza dough. Overcrowded employees are very concerned. We ate pizza at Mia highly recommend.,5,-0.01,0.55,en,21,0,0,False,0,0,0,0,0,"The review is relatively short and uses somewhat generic language (""You can't get enough of the thin pizza dough,"" ""highly recommend""). While the sentiment is slightly negative (-0.01), it doesn’t exhibit extreme emotionality or anger. The subjectivity score of 0.55 suggests a moderately personal opinion, and the presence of a URL is absent. Therefore, there isn't sufficient evidence to classify this review as inauthentic, irrelevant, an advertisement, or a rant."
Ahsap Iskender,Bayram Duzgun,Iskender is very delicious; you can optionally pour butter; what is interesting to me is that there are no treats.,3,0.75,0.75,en,20,0,0,False,0,0,0,0,0,"The review is relatively short and uses generic positive language (""Iskender is very delicious""). While the sentiment is positive (0.75), the lack of specific details or unique observations makes it less credible as a genuine review. There are no indicators of an advertisement (no URL, promotional language). The review does not appear to be an overly critical rant."
Askin Tostevi,Sema Sabancioglu,We paid 150 TL for 2 toast and 2 ayran. The only address of Ayvalık Toast. There are many queues; but the queue moves very quickly. Worth the wait.,5,0.27,0.53,en,29,0,1,False,0,0,0,0,0,"The review is relatively detailed, describing the price and queue situation. The sentiment is mildly positive (0.27), and while the rating is 5, it doesn't exhibit the strong, generic language or excessive enthusiasm often found in inauthentic reviews. There are no URLs or overly capitalized words. It seems like a genuine customer experience."
Sini Mugla,Sibel Salis,The waiters are scruffy so we didn't feel comfortable eating. The hygiene of the place was also bad.,1,-0.15,0.73,en,18,0,0,False,1,0,0,1,0,"The review has a very low rating (1) and a negative sentiment (-0.15), suggesting a potentially biased or overly critical account. The description, ""The waiters are scruffy so we didn't feel comfortable eating. The hygiene of the place was also bad,"" is a fairly generic complaint and could be indicative of an inauthentic review designed to lower the business’s rating. The high subjectivity (0.73) also suggests a potentially biased or emotionally driven account."
Mado,Muhammet Ay,The address of quality. The service should be a little faster.,4,-0.19,0.5,en,11,0,0,False,0,0,0,0,0,"The review has a sentiment score of -0.19, which is slightly negative but not overly critical. The subjectivity score of 0.5 suggests it's somewhat opinionated, but the review text ""The address of quality. The service should be a little faster."" is relatively generic and lacks specific details. There are no strong indicators of inauthenticity, advertising, or a rant. The review length is also reasonable at 11 words."
Kebabci Mahmut,Ali Selcik,Unnecessarily expensive; the Arab is addressing the tourist. good taste.,3,0.1,0.65,en,10,0,0,False,0,0,0,0,0,"The review expresses a negative opinion (""Unnecessarily expensive; the Arab is addressing the tourist."") but provides a specific, albeit subjective, reason (expensive and feeling targeted as a tourist). The sentiment is low (0.1), but not overwhelmingly negative, and the language isn't overly dramatic. There is no evidence of manipulation, promotional language, or excessive capitalization/exclamation marks.  The review is not excessively short, and while it’s a single sentence, it contains specific observations, making it a likely genuine review."
Hasan Usta,Burak Gelen,It is a place that can be preferred for taste; but the appetizer variety is very weak. The toilets smelled.,3,-0.49,0.81,en,20,0,0,False,0,0,0,0,0,"The review expresses a negative opinion with a sentiment score of -0.49, indicating a negative experience. However, the criticism is specific (""appetizer variety is very weak,"" ""toilets smelled"") and doesn't exhibit the characteristics of an inauthentic review such as generic praise or overly enthusiastic language. The review length (20) and the presence of subjective language (subjectivity=0.81) are within normal ranges for genuine user reviews. There are no indicators of deception present."
Salacak,Candan Esin,It is not p/p. Doner came cold and that's why it was hard.,3,-0.45,0.77,en,13,0,0,False,0,0,0,0,0,"The review expresses a negative opinion about the food being cold, which is a reasonable complaint. The sentiment (-0.45) and subjectivity (0.77) suggest a genuine, though somewhat blunt, expression of dissatisfaction. There are no strong indicators of inauthenticity, irrelevant content, advertisement, or a rant. The review length is also sufficient to convey a specific issue."
Rumeli Iskembecisi,Mehmet Durmaz,In terms of taste; I can't say it's too good because we drink much better ones. As a business performance; even bread is sold for money alongside soup.,3,0.6,0.55,en,28,0,0,False,0,0,0,0,0,"The review expresses a moderately negative opinion (""I can't say it's too good because we drink much better ones"") with a sentiment of 0.6, which is not overly dramatic. The review text itself doesn't contain promotional language or URLs. The length and subjective nature of the review don't strongly suggest inauthenticity. There isn't evidence of a rant."
Medeniyetler Sofrasi,Serpil Can,"They have very delicious meat; especially tiny lahmacun, super appetizers; delicious food here. The food is very nice. The workers can be a little more interested. They are very interested in Arab customers. They don't care about us. This situation makes us sad.",3,0.35,0.78,en,43,0,0,False,1,0,0,1,0,"This review exhibits several characteristics indicative of a rant. Firstly, the sentiment score is very low (-0.35), suggesting a strongly negative experience. Secondly, the review contains a high number of fully capitalized words (0) and exclamation marks (0), further amplifying the emotional tone. Finally, the text expresses a specific grievance about perceived discrimination, which, while potentially genuine, leans toward an overly critical and emotionally charged narrative, characteristic of a rant. The combination of negative sentiment, emphatic language, and the focus on a specific complaint strongly suggests an exaggerated and potentially unobjective account."
Miss Pizza,Samet Selcuk,Excellent pizza and fine wine. Both food and beverage portions are large. I recommend.,4,0.54,0.64,en,14,0,0,False,0,0,0,0,0,"The review is relatively positive with a sentiment of 0.54 and a moderate subjectivity rating. The language is descriptive (""Excellent pizza and fine wine. Both food and beverage portions are large."") rather than generic or overly enthusiastic. There are no strong indicators of inauthenticity, irrelevant content, advertisement, or a rant. The review length (14) and number of exclamation marks (0) are also within reasonable bounds."
Patso Burger,Bekir Bilir,Great patso!,5,1.0,0.75,en,2,1,0,False,0,0,0,0,0,"The review is a simple, positive statement (""Great patso!"") with a 5-star rating. There's no evidence of inauthenticity, advertising, or a rant. The sentiment score of 1.0 and subjectivity of 0.75 further support its authenticity as a genuine customer opinion. The review length (2) and the use of exclamation marks (1) are not unusual for positive reviews."
Bunbun Kas,Enes Cekic,If you come to Kaş and do not eat bunbun here; you are not considered to have come to Kaş. I would definitely recommend you to try it. Especially the ayran is wonderful.,5,0.33,0.83,en,33,0,0,False,0,0,0,0,0,"The review is overwhelmingly positive with a sentiment of 0.33 and a 5-star rating, suggesting a genuine positive experience. While the language is somewhat enthusiastic, it doesn’t exhibit the hallmarks of an inauthentic review (e.g., generic praise, unusual intensity, or deceptive intent). The review mentions specific details like ""ayran"" which adds to its credibility. There are no indications of an advertisement or rant."
Bilice,Alperen Ozturk,It gets very crowded because it's the weekend; we have to go a little early; you may not find a place to eat something,5,0.04,0.37,en,24,0,0,False,0,0,0,0,0,"This review is relatively short and uses generic language (""Great place, amazing food, highly recommend!"") which is typical of many reviews and doesn't contain strong indicators of deception. The sentiment score of 0.04 suggests a mildly positive opinion, aligning with a typical review. There are no URLs, excessive capitalization, or exclamation marks, further reducing the likelihood of it being an inauthentic or ranting review."
Rumeli Iskembecisi,Kaan Dogu,Definitely a good tripe soup; but I've had much better ones. Very clean place; prices are a bit expensive.,4,0.29,0.68,en,19,0,0,False,0,0,0,0,0,"The review expresses a relatively moderate opinion about the tripe soup, acknowledging it's good but not amazing and referencing price. The sentiment is slightly negative (-0.29) but not overwhelmingly so. The review length is reasonable (19). There's no evidence of an advertisement (no URL), overly emotional language, or excessive capitalization. It does not appear inauthentic."
Pecko Firin Atakum,Bulut Ergun,I definitely come here every time I come; I like both breakfast and evening meals; but prices have increased a lot from last year to this year.,4,0.0,0.28,en,27,0,0,False,0,0,0,0,0,"The review is relatively short and uses generic positive language (""I like both breakfast and evening meals""). While the sentiment is positive (0.0), there's no specific detail to suggest inauthenticity or a manipulative intent. The review does not contain a URL and doesn't exhibit excessive capitalization or exclamation marks. Therefore, it doesn't appear to be an inauthentic review, irrelevant, advertisement or rant."
Suflor,Amna Hakai,It's a very small and elegant place; its decor attracted me as I passed by. This cafe specializes in souffles of various flavors and the service they have is excellent and the staff are welcoming and cheerful.,4,0.32,0.8,en,37,0,0,False,0,0,0,0,0,"The review is a relatively detailed and positive description of a cafe, focusing on the ambiance and service. The sentiment score of 0.32 suggests a generally positive experience, and the review doesn't contain any overtly promotional language, URLs, or excessively strong/generic phrasing indicative of an advertisement or inauthentic review. There is no evidence of a rant either. The review length (37) is also reasonable."
Askin Tostevi,Ipek Tanyas,Crispy and delicious toast.,4,1.0,1.0,en,4,0,0,False,0,0,0,0,0,"The review ""Crispy and delicious toast"" is very generic and lacks specific details, which is a common characteristic of inauthentic reviews designed to boost ratings without providing genuine feedback.  The sentiment is positive (1.0) but the description is vague.  The review does not contain a URL and there are no indicators of an advertisement. Therefore, it’s unlikely to be inauthentic."
Sakip Usta Gaziantep,Gamze Aciogli,It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,4,0.3,0.6,en,44,0,0,False,0,0,0,0,0,"The review is relatively positive with a sentiment of 0.3 and a subjectivity of 0.6, indicating a genuine customer experience. The language is descriptive (""hygienic and clean washbasins""), but not overly embellished. There are no strong indicators of inauthenticity like overly high/low ratings, promotional language, or excessive capitalization. The review length is reasonable at 44 characters, and the star rating of 4 aligns with the description."
Kukis Suadiye,Berna Yazici,We went for dessert; but there are also food and breakfast options. It's not a huge venue and it gets pretty busy. We ate moblan; ibiza; strawberry puff pastry desserts. Moblan comes in huge portions. Desserts are very tasty and fresh.,5,0.18,0.65,en,41,0,0,False,0,0,0,0,0,"The review is a relatively detailed account of a dining experience, describing specific dishes and portions. The sentiment (0.18) is mildly positive, and the subjectivity score (0.65) suggests a genuine opinion. There are no strong indicators of inauthenticity, advertising, or a rant. The length and detail of the review suggest a genuine customer experience rather than a fabricated or promotional statement."
Umut Pide,Hulya Kadir,Excellent food and ambiance.,5,1.0,1.0,en,4,0,0,False,0,0,0,0,0,"The review ""Excellent food and ambiance."" is a very short, generic positive review. While positive, it lacks specific details and could be considered somewhat inauthentic due to its lack of substance. However, there isn't strong evidence to suggest it's intentionally deceptive, so ""Inauthentic: 1"" is not assigned.  The other metrics (sentiment, subjectivity, language, review length, exclaim_count, caps_count, contains_url) don't indicate any issues."
Kofteci Yusuf,Nurullah Cinar,We told the staff a very modest breakfast plate; there is unlimited tea; and the breakfast was really good. There was everything up to 4 kinds of cheese and it only cost 54 liras.,5,0.28,0.87,en,34,0,0,False,0,0,0,0,0,"The review is a relatively detailed description of a breakfast experience at Kofteci Yusuf, with specific mentions of food items (cheese, tea) and pricing. The sentiment is positive (0.28), the subjectivity is moderate (0.87), and the review length is reasonable. There are no strong indicators of inauthenticity, advertisement, or rant."
Patso Burger,Ersen Turgut,Patso starts from 50tl. It comes with lots of potatoes in the bread wrapped in paper; dipped in ketchup or mayonnaise according to your needs. You have to eat standing up. It does not have a special flavor; but it is satisfying,3,0.43,0.79,en,42,0,0,False,0,0,0,0,0,"The review provides a relatively detailed description of the Patso Burger experience, including pricing and specific details about the food. The sentiment is moderately positive (0.43), and the subjectivity score (0.79) suggests a genuine opinion. There are no strong indicators of inauthenticity, irrelevant content, advertising, or a rant."
Anzelha,Erhan Murat,A good kebab place. The meat is very good; tasty; the meat is well cooked. The treats are sufficient and tasty.,5,0.8,0.69,en,21,0,0,False,0,0,0,0,0,"The review is a straightforward, positive comment about a kebab place. The sentiment score of 0.8, subjectivity of 0.69, and relatively short length (21) don't raise immediate concerns. The language is descriptive but not overly embellished, and the absence of URLs or excessive capitalization rules out advertising or a rant. It's a typical, genuine review."
Tatbak,Ahmet Takir,Interest was good; but doner was a complete disaster. First of all; it came cold; there was no proper sauce in it; there was so much onion that I could not taste the meat at all.,2,0.11,0.44,en,36,0,0,False,0,0,0,1,0,"The review has a negative sentiment of 0.11, indicating a strongly negative opinion. Additionally, the review contains overly descriptive and somewhat dramatic language (""complete disaster,"" ""could not taste the meat at all"") which suggests an emotional rant rather than a balanced review. While not definitively inauthentic, the strong negative sentiment and descriptive language lean towards it being an overly critical rant."
Bogazkoy Restaurant,Nafican Tatlici,Asian salmon pastas and salad varieties are very successful. They have not neglected to share the secret of their taste.,4,0.19,0.57,en,20,0,0,False,0,0,0,0,0,"The review expresses a positive opinion about the restaurant's food (""Asian salmon pastas and salad varieties are very successful""). The sentiment is positive (0.19), the subjectivity is moderate (0.57), and the language is descriptive without overly generic phrases. There are no indications of inauthenticity, advertisement, or a rant. The review length (20) is also reasonable."
Korelee,Merve Sahin,Kimbap wasn't for me; it's a tough flavor.,4,-0.39,0.83,en,8,0,0,False,0,0,0,0,0,"The review expresses a personal opinion (""Kimbap wasn't for me; it's a tough flavor."") rather than exhibiting characteristics of an inauthentic review (e.g., overly generic praise, promotional language, or excessive negativity). The sentiment (-0.39) is relatively mild, suggesting a genuine, though somewhat critical, feedback. The review length (8) and other metrics don’t raise significant concerns."
Inegol Restaurant,Aysenur Celik,I especially recommend wedding soup; stuffed meatballs; manti and Inegöl meatballs.,4,0.0,1.0,en,11,0,0,False,0,0,0,0,0,"This review is a straightforward recommendation of specific dishes (""wedding soup; stuffed meatballs; manti and Inegöl meatballs."") with a 4-star rating. The sentiment is neutral (0.0), the subjectivity is high (1.0), and there are no indicators of inauthenticity, advertisement, or ranting. The review provides specific details about the food, suggesting a genuine customer experience rather than a deceptive attempt to artificially inflate the rating."
Nusr-et,Kaan Omak,"When we asked for a hamburger, we were told that it was not left; but the hamburger came to the side table; I'm breaking two points from here; other than that it was good.",3,0.19,0.33,en,34,0,0,False,0,0,0,0,0,"The review is relatively short and expresses a mildly negative sentiment (0.19) with specific details about the order (""hamburger""). While the rating is low (3 stars), it doesn’t exhibit strong indicators of inauthenticity, advertising, or a rant. The sentiment score and subjectivity score are reasonable. The review doesn't contain URLs or overly sensational language. It’s a plausible, albeit slightly critical, customer feedback."
Sakip Usta Gaziantep,Merve Balci,The food tastes good. The atmosphere of the place was not very attractive.,3,0.2,0.68,en,13,0,0,False,0,0,0,0,0,"The review provides a relatively neutral assessment of the food and atmosphere, with a rating of 3. The sentiment score of 0.2 indicates a mildly negative opinion, but it’s not overly emotional or critical. There's no indication of deceptive intent, promotional language, or excessive capitalization. The review length of 13 is also within a reasonable range for genuine reviews."
Antakya Mutfagi,Jason Pietroski,Appetizers were good. The size of the lahmacun was good; Even though I ordered spicy; it came painless.,4,0.7,0.6,en,18,0,0,False,0,0,0,0,0,"The review is relatively short and provides a basic assessment of the appetizers and lahmacun. The sentiment score of 0.7 suggests a positive experience, but the details are somewhat generic. There’s no evidence of inauthenticity, an advertisement, or a rant. The review does not contain URLs, fully capitalized words, or excessive exclamation marks."
Sushico,Alaa Makkawi,Very clean restaurant... Tasty suchi and noodles.,5,0.48,0.91,en,7,0,0,False,0,0,0,0,0,"The review is a relatively short, positive review with specific details (""Tasty suchi and noodles"") and a sentiment score of 0.48. There's no strong evidence of inauthenticity, irrelevant content, an advertisement, or a rant. The subjective score of 0.91 suggests a somewhat opinionated review, but doesn't raise concerns about deception."
Mevlana Lokantasi,Kubilay Ersoy,The ambiance is large and airy. The waiters are attentive and the service is fast. The tomato paste goes well with the trotter. The price is very reasonable.,5,0.27,0.68,en,28,0,0,False,0,0,0,0,0,"This review is a straightforward, positive customer experience. The sentiment score of 0.27 indicates a mildly positive feeling, the subjectivity score of 0.68 suggests a personal and descriptive account, and the review length is reasonable. There are no indicators of inauthenticity, advertisement, or ranting. The review provides specific details about the atmosphere, service, and food, making it a credible customer review."
Kukis Suadiye,Necla Celik,Their products are delicious and the sizes are nice. It is very difficult to take orders from the waiters because it is crowded. In addition; the prices should have been more affordable.,3,0.36,0.88,en,32,0,0,False,0,0,0,0,0,"The review expresses a moderately negative opinion (sentiment = 0.36) regarding prices and difficulty taking orders, but the language is relatively detailed and specific. There are no strong indicators of inauthenticity like overly generic praise, excessive capitalization, or promotional content. The review doesn't appear to be a fabricated attempt to manipulate ratings."
Imam Cagdas,Yalcin Cokzehir,We ordered Etli Ali Nazik Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.,2,0.13,0.83,en,22,0,0,False,0,0,0,0,0,"The review expresses a negative sentiment (sentiment = -0.13) regarding cold food, which is a valid complaint. The length of the review (review_length = 22) is reasonable and the language is descriptive, though perhaps a little generic. There are no indicators of inauthenticity, advertisement, or ranting based on the provided data."
Kebabci Halil Usta,Jale Serin,We ate küşleme; it was amazing. But as you can see; really really expensive.,4,0.05,0.8,en,14,0,0,False,0,0,0,0,0,"The review expresses a moderately positive sentiment (0.05) regarding a specific dish (küşleme) and provides a simple, albeit somewhat hyperbolic, observation about the price. The sentiment score is not extreme, and the language is relatively straightforward. There is no evidence of inauthentic intent, advertising language, or a rant. The review length is also reasonable."
Nazar Cafe,Gokce Sosyal,Recommend.,4,0.0,0.0,en,1,0,0,False,1,0,0,0,0,"The review “Recommend.” is extremely short and generic. This, combined with a 4-star rating and a sentiment of 0.0, suggests a potentially inauthentic review designed to artificially inflate the rating without providing substantive feedback. There is no indication of an advertisement or rant."
Kasikla Restaurant,Batuhan Sorkan,The staff is very polite and very concerned. Thank you for the delicious food.,5,0.47,0.53,en,14,0,0,False,0,0,0,0,0,"The review is a positive, relatively short and generic review with a moderate sentiment score. There is no strong evidence to suggest inauthenticity, irrelevant content, advertising, or a rant. The sentiment of 0.47 indicates a positive feeling, but the language is fairly basic (""The staff is very polite and very concerned. Thank you for the delicious food."").  The review length (14) and the lack of unusual features (exclamation marks, caps, URL) further support its authenticity."
Vefa Bozacisi,Gokhan Bardak,It was very nice to taste the boza in the historical place. Way better than other bozas.,4,0.29,0.47,en,17,0,0,False,0,0,0,0,0,"The review expresses a positive opinion about tasting boza in a historical place, with a sentiment of 0.29 and a subjectivity of 0.47. The language is relatively descriptive (""taste the boza in the historical place"") and doesn't exhibit characteristics of an inauthentic review, advertisement, or rant. The review length (17) and other metrics are also within acceptable ranges for genuine user feedback."
Abidin Tantuni,Samet Besci,Great job; thank you!,5,1.0,0.75,en,4,1,0,False,1,0,0,0,0,"The review receives a 5-star rating and the text ""Great job; thank you!"" is extremely generic and lacks specific details about the experience. This, combined with a high subjectivity rating (0.75), suggests it might be an inauthentic review designed to artificially inflate the rating.  The brevity of the review (""Great job; thank you!"") is also a characteristic of potentially inauthentic reviews."
Churchill Bistro,Bora Ozkut,It is a business that serves 2 orange juices that are not on the breakfast menu and that I did not order; as if they were on the menu; and charges an extra 40 TL.,2,0.0,0.1,en,35,0,1,False,1,0,0,1,0,"The review has a very low rating (2) and expresses a strongly negative sentiment (-1), coupled with a high number of all-caps words (1) and exclamation marks (0). The complaint about charges for items not on the menu and an extra charge is specific, suggesting a genuine issue, but the overall tone and the presence of stylistic elements typical of overly critical and potentially emotionally charged reviews indicate a rant rather than a measured assessment."
Cemo Etliekmek,Hulya Gurbuz,The okra soup was hot and scrumptious to the broth. The meat loaf and tandoori kebab were excellent. We ate in the garden with pleasure in a cool weather.,5,0.53,0.83,en,29,0,0,False,0,0,0,0,0,"The review is a positive and relatively detailed account of a dining experience, with specific mentions of dishes (okra soup, meat loaf, tandoori kebab) and the atmosphere (garden, cool weather). The sentiment score of 0.53 indicates a generally positive, though not overwhelmingly so, experience. The review doesn't exhibit any characteristics typically associated with inauthentic reviews, advertisements, or rants. The length is reasonable, and the language is descriptive."
Monica Kitchen,Huseyin Donmez,Great viewed restourant.,5,0.8,0.75,en,3,0,0,False,1,0,0,0,0,"The review gives a very generic and positive assessment (""Great viewed restourant."") with minimal detail. Coupled with a 5-star rating and a sentiment score of 0.8, this suggests it may be an inauthentic review intended to artificially inflate the business's rating.  The language is overly positive and lacks specifics, which is a common characteristic of inauthentic reviews."
